Продукт;Бел, г;Жир, г;Угл, г;Кал, ккал;
Рис для суши;7,00;0,60;75,20;342,00;
Рис Жменька Арборио;6,70;1,50;78,50;354,00;
Рис Жменька длиннозернистый;7,00;1,00;71,40;330,00;
Рис Жменька Жасмин;6,90;0,20;73,40;331,00;
Рис Жменька круглозернистый;7,00;1,00;71,40;330,00;
Рис Жменька нешлифованный;8,00;3,90;52,00;285,00;
Рис Жменька Отборный;7,00;1,00;71,40;330,00;
Рис Жменька пропаренный;7,30;0,20;75,40;341,00;
Рис Жменька пропаренный Gold;7,30;0,20;75,40;341,00;
Рис Жменька Супер Басмати;7,00;0,20;71,20;322,00;
Рис Жменька Суши;7,20;0,30;79,00;347,00;
Рис золотистый;8,10;0,40;78,00;349,00;
Рис Карнароли;7,50;2,60;62,50;303,00;
Рис коричневый;6,30;4,40;65,10;331,00;
Рис коричневый вареный;2,60;0,90;22,80;110,00;
Рис красный нешлифованный;10,50;2,50;70,50;362,00;
Рис круглозерный шлифованный;0,10;0,40;79,00;350,00;
Рис Мистраль Акватика Color Mix;8,80;2,30;72,80;356,00;
Рис Мистраль Акватика Дикий;14,00;0,50;72,00;357,00;
Рис Мистраль круглозерный;0,10;0,40;79,50;355,00;
Рис Мистраль пропаренный;7,10;0,70;79,30;361,00;
Рис Мистраль Самарканд красный круглозерный;8,00;0,50;75,80;320,00;
Рис Националь Здоровье;7,50;2,00;73,00;340,00;
Рис Националь Ризотто;6,50;0,50;83,00;360,00;
Рис Националь Феникс;7,00;2,00;75,00;350,00;
Рис нешлифованный вареный;2,70;0,70;36,00;125,00;
Рис Нишики;7,00;2,00;56,00;277,00;
Рис Пассим круглозёрный Приморский;7,00;1,00;74,00;333,00;
Рис полированный;7,00;1,00;71,40;330,00;
Рис пропаренный вареный;2,10;0,10;21,40;97,00;
Рис рассыпчатый;2,40;0,20;24,90;113,00;
Рис Увелка круглозерный;7,00;1,00;71,10;330,00;
Рис Увелка круглозерный шлифованный;8,00;1,00;76,00;340,00;
Рис Фушигон;7,00;0,60;77,30;340,00;
Рисовая каша на воде;1,50;0,10;17,40;78,00;
Рисовая каша на молоке;2,50;3,10;16,00;97,00;
Рисовая манка Гарнец безглютеновая;7,00;0,50;78,00;340,00;
Рисовые отруби;13,40;20,90;28,90;316,00;
Рисовые хлопья;7,00;2,00;77,00;360,00;
Рисовые хлопья Myllyn Paras;7,00;1,00;77,00;360,00;
Рисовые хлопья Myllyn Paras для каши;7,00;1,00;77,00;360,00;
Рожь (зерна);9,90;2,20;55,80;283,00;
Саго;1,00;0,70;85,00;350,00;
Смесь 5 видов отрубей Верное средство;15,00;4,50;15,00;150,00;
Смесь бобовых Мистраль;22,60;1,60;48,50;299,00;
